Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:31:28.362 GMT-0000,38.852,38.848000000000006,0,0.0008
18.11.2019 14:31:28.412 GMT-0000,38.862,38.848000000000006,0,0.0008
18.11.2019 14:31:28.742 GMT-0000,38.862,38.858000000000004,0,0.0008
18.11.2019 14:31:28.792 GMT-0000,38.872,38.848000000000006,0.002,0.002
18.11.2019 14:31:29.022 GMT-0000,38.873000000000005,38.847,0.002,0.002
18.11.2019 14:31:29.106 GMT-0000,38.872,38.858000000000004,0,0.0008
18.11.2019 14:31:29.393 GMT-0000,38.873000000000005,38.857,0.002,0.002
18.11.2019 14:31:29.508 GMT-0000,38.863,38.847,0.002,0.002
18.11.2019 14:31:29.601 GMT-0000,38.862,38.838,0.002,0.002
18.11.2019 14:31:29.995 GMT-0000,38.863,38.857,0,0.0008
18.11.2019 14:31:30.045 GMT-0000,38.893,38.857,0.002,0.002
18.11.2019 14:31:30.375 GMT-0000,38.891999999999996,38.868,0,0.0008
18.11.2019 14:31:30.554 GMT-0000,38.891999999999996,38.877,0,0.0008
18.11.2019 14:31:31.068 GMT-0000,38.903000000000006,38.887,0.002,0.002
18.11.2019 14:31:31.169 GMT-0000,38.902,38.878,0,0.0008
18.11.2019 14:31:31.500 GMT-0000,38.903000000000006,38.887,0.002,0.0008
18.11.2019 14:31:31.601 GMT-0000,38.932,38.908,0,0.0008
18.11.2019 14:31:31.651 GMT-0000,38.922,38.898,0,0.0008
18.11.2019 14:31:31.846 GMT-0000,38.912,38.898,0,0.0008
18.11.2019 14:31:31.897 GMT-0000,38.902,38.878,0,0.0008
18.11.2019 14:31:32.205 GMT-0000,38.903000000000006,38.897,0,0.0008
18.11.2019 14:31:32.255 GMT-0000,38.912,38.888000000000005,0.002,0.002
18.11.2019 14:31:32.306 GMT-0000,38.902,38.888000000000005,0,0.0008
18.11.2019 14:31:32.494 GMT-0000,38.902,38.878,0,0.0008
18.11.2019 14:31:32.772 GMT-0000,38.891999999999996,38.868,0.002,0.002
18.11.2019 14:31:32.822 GMT-0000,38.903000000000006,38.877,0.002,0.002
18.11.2019 14:31:33.061 GMT-0000,38.891999999999996,38.878,0,0.0008
18.11.2019 14:31:33.112 GMT-0000,38.891999999999996,38.868,0,0.0008
18.11.2019 14:31:33.406 GMT-0000,38.882,38.858000000000004,0.002,0.002
